Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
2246EM14T,"Quadrennial Term Contract for Provision of Maintenance, Modification and Installation works on Tai Po and North District Area Traffic Control System",Jul 2015,"Maintenance, modification and installation works for the Area Traffic Control System in Tai Po and North District",Open,Shun Hing Systems Integration Company Limited,"HK$10,055,932.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_229.html,,,,
1555EM14W,Provision of Sound Reinforcement and Audio Visual Transmission System in the West Kowloon Law Courts Building for the Judiciary,Jul 2015,Audio Electronics Installation,Selective,Media-Go Engineering Limited,"HK$11,202,090.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_208.html,,,,
1488EM14W,Replacement of Air-conditioning Systems at Cheung Sha Wan Government Offices Building,Jul 2015,Air-conditioning Installation,Selective,Shun Hing E & M Engineering Limited,"HK$6,938,338.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_220.html,,,,
2617EM14T,Biennial Term Contract for Operation and Maintenance of Data Centre Infrastructure at Siu Ho Wan Maintenance Depot,Jun 2015,Air-conditioning Installation,Selective,Lucky Engineering Company Limited,"HK$4,664,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_230.html,,,,
1229EM14T,"Biennial Term Contract for the Supply and Installation of Public Address Systems, Auxiliary Equipment & Emergency Call-out System for the Government of the HKSAR",Jun 2015,Audio Electronics Installation,Selective,"Shun Tung Electric Company, Limited","HK$26,716,168.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_213.html,,,,
2434EM14T,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Unattended Municipal Venues in New Territories of the Government of the Hong Kong Special Administrative Region",May 2015,Electrical Installation,Selective,Interlite (Asia) Limited,"HK$143,418,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_219.html,,,,
2266EM14T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations and Other Facilities for Unattended Municipal Venues in Kowloon,May 2015,Air-conditioning Installation,Selective,Alliance Contracting Company Limited,"HK$61,921,820.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_224.html,,,,
2087EM14W,Bulk Replacement of Air-cooled Chillers in Hospital Authority Venues (Batch 1),May 2015,Air-conditioning Installation,Selective,Dah Chong Hong (Engineering) Limited,"HK$27,687,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_227.html,,,,
1939EM14T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations and Other Facilities for Attended Municipal Venues in Kowloon,May 2015,Air-conditioning Installation,Selective,Westco Airconditioning Limited,"HK$88,343,990.56",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_218.html,,,,
1914EM14T,Triennial Contract for Operation and Maintenance of Air-conditioning Installations at Attended Municipal Venues in Hong Kong Region,May 2015,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"HK$67,444,866.65",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_216.html,,,,
1913EM14T,Triennial Contract for Operation and Maintenance of Air-conditioning Installations at Unattended Municipal Venues in Hong Kong Region,May 2015,Air-conditioning Installation,Selective,"Wenden Engineering Service Company, Limited","HK$82,468,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_215.html,,,,
1185EM14T,Triennial Term Contract for Maintenance of Electrical Installations and Domestic Appliances at Various Staff Quarters of the Government of the Hong Kong Special Administrative Region (NEC TSC OPTION A),May 2015,Electrical Installation,Selective,Au Chow Electrical Company Limited,"HK$18,343,372.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_223.html,,,,
1035EM13W,Replacement of the Toll Collection Systems at Lantau Toll Plaza and Ma Wan Toll Plaza in the Tsing Ma Control Area,May 2015,Replacement of the toll collection systems (TCSs) for the manual toll lanes at the Lantau Toll Plaza and the Ma Wan Toll Plaza in the Tsing Ma Control Area (TMCA) and the provision of the toll collection facilities at the airport-bound carriageways of the Lantau Toll Plaza,Open,Autotoll Limited,"HK$26,388,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_190.html,,,,
1653EM14T,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Attended Municipal Venues in New Territories of the Government of the Hong Kong Special Administrative Region",Apr 2015,Electrical Installation,Selective,Interlite (Asia) Limited,"HK$98,788,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_211.html,,,,
1965EM14T,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in Kowloon of the Government of the Hong Kong Special Administrative Region [Package II]",Mar 2015,Electrical Installation,Selective,Iu Cheong Electric Company Limited,"HK$90,447,048.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_217.html,,,,
1864EM14T,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in Kowloon of the Government of the Hong Kong Special Administrative Region [Package I]",Mar 2015,Electrical Installation,Selective,Iu Cheong Electric Company Limited,"HK$73,663,361.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_209.html,,,,
1827EM14T,Triennial Term Contract for Maintenance of TETRA System for Correctional Services Department,Mar 2015,Radio Electronics Installation,Selective,Motorola Solutions Asia Pacific Limited,"HK$12,764,338.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_204.html,,,,
1567EM14T,"Triennial Term Contract for Provision of Maintenance, Modification and Installation Works on Tuen Mun and Yuen Long District Area Traffic Control System",Mar 2015,"maintenance, modification and installation works for the Area Traffic Control System in Tuen Mun and Yuen Long District as well as Light Rail Transit junctions",Open,Siemens Limited,"HK$16,283,820.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_199.html,,,,
1019EM13W,Replacement of CCTV System at Shek Pik Prison for Correctional Services Department,Mar 2015,Video Electronics Installation,Selective,Tung Po (H.K.) Technology Enterprise Limited,"HK$3,820,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_196.html,,,,
1015EM13W,Replacement of Tunnel Lighting System and Monitoring and Management Supervisory Systems in the Shing Mun Tunnels,Mar 2015,Industrial Type Electrical Installation,Selective,Mak Hang Kei (Hong Kong) Construction Limited,"HK$78,800,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_203.html,,,,
1002EM13T,"Triennial Term Contract for Maintenance and Repair of, Alterations, Additions and Improvement Works to Electrical Installations for Municipal Venues in Kowloon Districts for the Government of The Hong Kong Special Administrative Region",Feb 2015,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_205.html,,,,-48.00%
1001EM13T,"Triennial Term Contract for Maintenance and Repair of, Alterations, Additions and Improvement Works to Electrical Installations for Municipal Venues on Hong Kong Island and its Outlying Islands for the Government of the Hong Kong Special Administrative Region",Feb 2015,Electrical Installation,Selective,Che Luen Electrical Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_207.html,,,,-47.00%
1927EM14T,"Triennial Term Contract for Maintenance of Security and Electronic Systems at various venues for Correctional Services Department, Immigration Department, and Customs and Excise Department",Jan 2015,Burglar Alarm and Security Installation,Selective,Thorn Security (Hong Kong) Limited,"HK$19,065,533.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_195.html,,,,
1712EM14W,Replacement of Two Sets of 11kV Switchboards (HS1/SNG & HS2/OTG) and Associated Equipment in Tuen Mun Hospital,Jan 2015,Industrial Type Electrical Installation,Selective,Triple Faith Engineering & Supply Limited,"HK$11,200,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_200.html,,,,
1032EM13W,"Replacement of Air Conditioning Equipment at Immigration Tower, Revenue Tower, Government Logistics Centre, South Horizons Neighbourhood Community Centre and Western Magistracy Building",Jan 2015,Air-conditioning Installation,Selective,York International (Northern Asia) Limited,"HK$9,722,220.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_197.html,,,,
1003EM13T,"Triennial Term Contract for Maintenance and Repair of, Alterations, Additions and Improvement Works to Electrical Installations for Municipal Venues in New Territories and its Outlying Islands for the Government of The Hong Kong Special Administrative Region",Jan 2015,Electrical Installation,Selective,Newton Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_202.html,,,,-42.00%
1901EM14T,24-Month Maintenance Services for Infrastructure Power Network at Hong Kong International Airport,Dec 2014,Industrial Type Electrical Installation,Selective,Triple Faith Engineering & Supply Limited,"HK$4,885,648.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_206.html,,,,
1302EM14T,"Triennial Term Contract for the Maintenance and Repair of, Alternations and Additions to Fire Service Installations for Airport Venues",Dec 2014,Fire Service Installation,Selective,Windmill Engineering Company Limited,"HK$29,601,676.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_198.html,,,,
1255EM14W,Improvement Works on the Air-conditioning System at Luen Wo Hui Municipal Services Building,Dec 2014,Air-conditioning Installation,Selective,York International (Northern Asia) Limited,"HK$5,944,444.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_192.html,,,,
1025EM13W,Supply and Replacement of Air-conditioning System at New Territories North Regional Police Headquarters,Nov 2014,Air-conditioning Installation,Selective,"Wenden Engineering Service Company, Limited","HK$10,668,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_191.html,,,,
